iter	Passed	Remaining
0	5	5541
1	13	6737
2	20	6871
3	24	6185
4	30	6122
5	36	5999
6	41	5856
7	47	5871
8	51	5683
9	56	5595
10	63	5708
11	69	5746
12	76	5799
13	80	5635
14	87	5732
15	91	5636
16	96	5580
17	102	5602
18	109	5633
19	114	5610
20	119	5591
21	126	5614
22	130	5550
23	135	5529
24	142	5549
25	148	5568
26	154	5552
27	159	5553
28	166	5587
29	170	5522
30	175	5495
31	181	5495
32	187	5490
33	192	5470
34	198	5459
35	203	5450
36	208	5438
37	214	5428
38	218	5391
39	224	5379
40	229	5371
41	235	5370
42	241	5377
43	246	5365
44	252	5366
45	257	5330
46	262	5314
47	268	5318
48	273	5315
49	279	5302
50	285	5308
51	291	5305
52	296	5297
53	302	5291
54	308	5293
55	313	5290
56	319	5278
57	325	5280
58	331	5280
59	336	5268
60	342	5264
61	348	5268
62	353	5262
63	359	5251
64	365	5254
65	371	5253
66	376	5242
67	382	5238
68	388	5237
69	393	5231
70	399	5220
71	404	5216
72	410	5212
73	415	5201
74	421	5195
75	427	5191
76	432	5185
77	438	5183
78	445	5189
79	450	5185
80	458	5202
81	464	5194
82	469	5190
83	475	5185
84	515	5551
85	526	5600
86	536	5629
87	543	5627
88	555	5689
89	563	5693
90	568	5678
91	575	5675
92	581	5667
93	586	5656
94	592	5644
95	598	5634
96	604	5630
97	610	5619
98	616	5614
99	638	5748
100	651	5802
101	660	5814
102	667	5812
103	673	5800
104	678	5781
105	683	5764
106	688	5750
107	693	5729
108	698	5713
109	704	5697
110	709	5679
111	714	5666
112	720	5652
113	725	5636
114	731	5626
115	736	5614
116	741	5597
117	747	5583
118	752	5570
119	757	5552
120	762	5539
121	768	5529
122	773	5513
123	778	5501
124	784	5488
125	789	5473
126	794	5462
127	800	5452
128	805	5437
129	810	5426
130	816	5416
131	821	5402
132	827	5392
133	832	5382
134	837	5368
135	844	5362
136	849	5354
137	857	5356
138	864	5353
139	870	5345
140	876	5340
141	884	5341
142	890	5336
143	896	5330
144	902	5322
145	908	5314
146	915	5311
147	922	5308
148	928	5300
149	933	5292
150	939	5284
151	946	5281
152	952	5274
153	958	5264
154	964	5256
155	970	5250
156	976	5242
157	982	5233
158	988	5226
159	994	5219
160	999	5209
161	1004	5198
162	1010	5190
163	1017	5184
164	1022	5176
165	1028	5165
166	1034	5159
167	1040	5150
168	1045	5140
169	1052	5137
170	1058	5129
171	1064	5124
172	1069	5114
173	1075	5106
174	1081	5098
175	1086	5088
176	1092	5078
177	1098	5071
178	1104	5063
179	1109	5053
180	1115	5046
181	1121	5038
182	1126	5029
183	1131	5019
184	1137	5013
185	1143	5004
186	1148	4994
187	1154	4987
188	1160	4979
189	1165	4969
190	1171	4961
191	1177	4954
192	1182	4946
193	1188	4936
194	1194	4929
195	1200	4922
196	1205	4912
197	1210	4905
198	1216	4898
199	1222	4888
200	1227	4880
201	1234	4876
202	1240	4871
203	1247	4867
204	1253	4859
205	1259	4855
206	1266	4851
207	1272	4846
208	1278	4839
209	1284	4833
210	1291	4828
211	1297	4824
212	1303	4817
213	1309	4810
214	1316	4805
215	1321	4796
216	1327	4790
217	1333	4783
218	1339	4776
219	1346	4772
220	1352	4766
221	1358	4761
222	1364	4752
223	1370	4747
224	1376	4741
225	1382	4736
226	1388	4729
227	1395	4724
228	1401	4719
229	1408	4715
230	1414	4709
231	1420	4701
232	1426	4695
233	1432	4689
234	1438	4681
235	1443	4674
236	1451	4671
237	1457	4665
238	1464	4662
239	1469	4654
240	1475	4647
241	1481	4641
242	1487	4634
243	1494	4629
244	1499	4621
245	1505	4615
246	1512	4609
247	1517	4602
248	1523	4595
249	1530	4590
250	1536	4585
251	1542	4579
252	1552	4582
253	1563	4592
254	1571	4589
255	1577	4585
256	1584	4580
257	1589	4572
258	1595	4564
259	1601	4558
260	1607	4551
261	1613	4544
262	1619	4537
263	1626	4533
264	1632	4528
265	1640	4528
266	1649	4528
267	1659	4531
